Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
"First imported case of 2019 novel coronavirus in Canada, presenting as mild pneumonia (vol 395, pg 734, 2020)","Silverstein, W. K.; Stroud, L.; Cleghorn, G. E.; Leis, J. A.",,2020,,Lancet,395,10225,E41-E41,WOS:000516755200033,,10666,#9986,Silverstein 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Sobre a possibilidade de interrupção da epidemia pelo coronavírus (COVID-19) com base nas melhores evidências científicas disponíveis,"Silva, Antônio Augusto Moura da",,2020,,Revista Brasileira de Epidemiologia,23,,e200021-e200021,SCIELO:S1415-790X2020000100100,10.1590/1980-549720200021,10726,#9988,Silva 2020,,Awaiting classification,20-03-20
Host susceptibility to severe COVID-19 and establishment of a host risk score: findings of 487 cases outside Wuhan,"Shi, Yu; Yu, Xia; Zhao, Hong; Wang, Hao; Zhao, Ruihong; Sheng, Jifang","The recent outbreak of coronavirus disease 2019 (COVID-19), caused by a new zoonotic coronary virus, SARS-CoV-2 [1], is being a great threat to public health. Up to February 11, 2020, it is reported that over 70,000 persons have been infected with SARS-CoV-2 in China [2]. The COVID-19 caused by SARS-CoV-2 infection represents a spectrum of clinical severity [3,4,5]. Some patients are asymptomatic or have merely mild upper respiratory tract symptoms. However, SARS-CoV-2 causes pneumonia that can be severe and characterized by fever, cough, dyspnea, bilateral pulmonary infiltrates, and acute respiratory injury. It is estimated that approximately 20% of patients are developing severe respiratory illness, with the overall mortality around 2.3% [2]. Thereby, it is critical to identify individuals who confer intrinsic susceptibility to become severe or even critically ill upon infection, for the purposes of prevention and treatment, especially when there is no drug directly targeting at SARS-CoV-2 that has been proven to be clinically effective. In the study, we explored potential host risk factors associated with severe cases at admission in a retrospective cohort of 487 patients in Zhejiang Province of China and attempt to establish a score system to identify high-risk individuals. We reviewed medical records, laboratory findings, and pulmonary CT scan of each patient with COVID-19, provided by the local health authority and inputted into a pre-specified electronic data collection form. Clinical outcomes were followed up to February 17, 2020. The primary endpoint was occurrence of death and severe cases. A total of 487 COVID-19 patients were included for analysis, with 49 (10.1%) severe cases at admission. As shown in Table 1, severe cases are elderly (56 (17) vs. 45 (19), P < 0.001), with more male (73.5% vs. 50.9%, P = 0.003). They have a higher incidence of hypertension (53.1% vs. 16.7%, P < 0.001), diabetes (14.3% vs. 5.0%, P = 0.009), cardiovascular diseases (8.2% vs. 1.6%, P = 0.003), and malignancy (4.1% vs. 0.7%, P = 0.025), and less exposure to epidemic area (49.0% vs. 65.1%, P = 0.027), but more infected family members (P = 0.031). On multivariate analysis, elder age (OR 1.06 [95% CI 1.03–1.08], P < 0.001), male (OR 3.68 [95% CI 1.75–7.75], P = 0.001), and presence of hypertension (OR 2.71 [95% CI 1.32–5.59], P = 0.007) are independently associated with severe disease at admission, irrespective of adjustment of time to admission.[Truncated]",2020,,Critical Care,24,1,108-108,,10.1186/s13054-020-2833-7,10171,#9990,Shi 2020,,"* Case study/series; * Epidemiological study; Clinical aspects, diagnosis, treatment; Epidemiology",20-03-20
A CHOGM under COVID cloud,"Sharfuddin, Syed","The rapid spread of the Coronavirus, also known as COVID-19, has forced many governments to draw up emergency national plans to fight the pandemic and to issue revised travel advisories asking their nationals to undertake minimum overseas travel. Last month, the Swiss government cancelled the Geneva International Motor Show scheduled for March 2020 and advised local organisations to avoid holding functions attended by more than a thousand participants. The Olympic Committee is also seriously considering cancelling the Tokyo Olympics in July this year. On 17 March Europe’s biggest football event, Euro 2020, was postponed to 2021. The same consideration would apply to holding the Commonwealth Heads of Government Meeting (CHOGM) in June this year. If an announcement to reschedule CHOGM is not taken soon, it will be assumed that the meeting is going ahead as scheduled. However, nearer the time a number of Heads of Government might not want to travel to Kigali where more than a thousand delegates from different climate zones and affected regions would rub shoulders against each other at the Opening Ceremony, share drinks at the Secretary-General’s traditional reception and sit close to each other at the Retreat sessions.[Truncated]",2020,,The Round Table,,,01-Feb,,10.1080/00358533.2020.1741892,10279,#9995,Sharfuddin 2020,,* Opinion piece,20-03-20
AI-Driven Tools for Coronavirus Outbreak: Need of Active Learning and Cross-Population Train/Test Models on Multitudinal/Multimodal Data,"Santosh, K. C.","The novel coronavirus (COVID-19) outbreak, which was identified in late 2019, requires special attention because of its future epidemics and possible global threats. Beside clinical procedures and treatments, since Artificial Intelligence (AI) promises a new paradigm for healthcare, several different AI tools that are built upon Machine Learning (ML) algorithms are employed for analyzing data and decision-making processes. This means that AI-driven tools help identify COVID-19 outbreaks as well as forecast their nature of spread across the globe. However, unlike other healthcare issues, for COVID-19, to detect COVID-19, AI-driven tools are expected to have active learning-based cross-population train/test models that employs multitudinal and multimodal data, which is the primary purpose of the paper.",2020,,Journal of medical systems,44,5,93-93,,10.1007/s10916-020-01562-1,10245,#10003,Santosh 2020,,* Opinion piece,20-03-20
COVID-2019 and Pregnancy: A plea for transparent reporting of all cases,"Sahu, Kamal Kant; Lal, Amos; Mishra, Ajay Kumar","We read with great interest a recent editorial by Liang et al. on the management of COVID-19 in pregnancy. Their recommendations are clinically oriented and are likely to be useful to obstetricians and other healthcare professionals caring for such patients. However, we feel that development of evidence-based guidelines has been hindered by selective reporting of cases. We hereby would like to discuss a few additional points with regards to the challenges encountered while managing pregnant patients with COVID-19.",2020,,,,,,,10.1111/aogs.13850,10224,#10007,Sahu 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Voice from China: nomenclature of the novel coronavirus and related diseases Asymptomatic Exophytic Plaques on the Penis of a Patient With HIV Infection: Challenge,"Rozas-Muñoz, Eduardo; Mir-Bonafé, Juan Francisco; Mozos, Ana; Szafranska, Justyna; Puig, Luis",,2020,,Chinese Medical Journal,Publish Ahead of Print,3,e28-e29,00029330-900000000-99369,10.1097/cm9.0000000000000787 10.1097/dad.0000000000001345,10829,#10014,Rozas-Muñoz 2020,,* Opinion piece,20-03-20
"Clinical, laboratory and imaging features of COVID-19: A systematic review and meta-analysis","Rodriguez-Morales, Alfonso J.; Cardona-Ospina, Jaime A.; Gutierrez-Ocampo, Estefania; Villamizar-Pena, Rhuvi; Holguin-Rivera, Yeimer; Escalera-Antezana, Juan Pablo; Alvarado-Arnez, Lucia Elena; Bonilla-Aldana, D. Katterine; Franco-Paredes, Carlos; Henao-Martinez, Andres F.; Paniz-Mondolfi, Alberto; Lagos-Grisales, Guillermo J.; Ramirez-Vallejo, Eduardo; Suarez, Jose A.; Zambrano, Lysien I.; Villamil-Gomez, Wilmer E.; Balbin-Ramon, Graciela J.; Rabaan, Ali A.; Harapan, Harapan; Dhama, Kuldeep; Nishiura, Hiroshi; Kataoka, Hiromitsu; Ahmad, Tauseef; Sah, Ranjit; Latin American Network of Coronavirus Disease, Covid-Research; Electronic address, https www lancovid org","INTRODUCTION: An epidemic of Coronavirus Disease 2019 (COVID-19) began in December 2019 in China leading to a Public Health Emergency of International Concern (PHEIC). Clinical, laboratory, and imaging features have been partially characterized in some observational studies. No systematic reviews on COVID-19 have been published to date. METHODS: We performed a systematic literature review with meta-analysis, using three databases to assess clinical, laboratory, imaging features, and outcomes of COVID-19 confirmed cases. Observational studies and also case reports, were included, and analyzed separately. We performed a random-effects model meta-analysis to calculate the pooled prevalence and 95% confidence interval (95%CI). RESULTS: 660 articles were retrieved for the time frame (1/1/2020-2/23/2020). After screening, 27 articles were selected for full-text assessment, 19 being finally included for qualitative and quantitative analyses. Additionally, 39 case report articles were included and analyzed separately. For 656 patients, fever (88.7%, 95%CI 84.5-92.9%), cough (57.6%, 40.8-74.4%) and dyspnea (45.6%, 10.9-80.4%) were the most prevalent manifestations. Among the patients, 20.3% (95%CI 10.0-30.6%) required intensive care unit (ICU), 32.8% presented with acute respiratory distress syndrome (ARDS) (95%CI 13.7-51.8), 6.2% (95%CI 3.1-9.3) with shock. Some 13.9% (95%CI 6.2-21.5%) of hospitalized patients had fatal outcomes (case fatality rate, CFR). CONCLUSION: COVID-19 brings a huge burden to healthcare facilities, especially in patients with comorbidities. ICU was required for approximately 20% of polymorbid, COVID-19 infected patients and hospitalization was associated with a CFR of over 13%. As this virus spreads globally, countries need to urgently prepare human resources, infrastructure and facilities to treat severe COVID-19.",2020,,Travel medicine and infectious disease,,,101623-101623,MEDLINE:32179124,10.1016/j.tmaid.2020.101623,10416,#10017,Rodriguez-Morales 2020,,"* Systematic review; Clinical aspects, diagnosis, treatment",20-03-20
Liver and Kidney Injuries in COVID-19 and Their Effects on Drug Therapy; a Letter to Editor,"Rismanbaf, Ali; Zarei, Sara",,2020,,Archives of academic emergency medicine,8,1,e17-e17,MEDLINE:32185369,,10723,#10018,Rismanbaf 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
"Covid-19: pregnant doctors should speak to occupational health, say experts","Rimmer, Abi",,2020,,BMJ (Clinical research ed.),368,,m1104-m1104,,10.1136/bmj.m1104,10256,#10027,Rimmer 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Coronavirus Disease 2019 (COVID-19) and Pregnancy: Responding to a Rapidly Evolving Situation,"Rasmussen, Sonja A.; Jamieson, Denise J.","As the world confronts coronavirus disease 2019 (COVID-19), an illness caused by yet another emerging pathogen (severe acute respiratory syndrome coronavirus 2 [SARS-CoV-2]), obstetric care providers are asking what this means for pregnant women. The global spread has been swift, and many key questions remain. The case-fatality rate for persons cared for in the United States and whether asymptomatic persons transmit the virus are examples of questions that need to be answered to inform public health control measures. There are also unanswered questions specific to pregnant women, such as whether pregnant women are more severely affected and whether intrauterine transmission occurs. Although guidelines for pregnant women from the American College of Obstetricians and Gynecologists and the Centers for Disease Control and Prevention have been rapidly developed based on the best available evidence, additional information is critically needed to inform key decisions, such as whether pregnant health care workers should receive special consideration, whether to temporarily separate infected mothers and their newborns, and whether it is safe for infected women to breastfeed. Some current recommendations are well supported, based largely on what we know from seasonal influenza: patients should avoid contact with ill persons, avoid touching their face, cover coughs and sneezes, wash hands frequently, disinfect contaminated surfaces, and stay home when sick. Prenatal clinics should ensure all pregnant women and their visitors are screened for fever and respiratory symptoms, and symptomatic women should be isolated from well women and required to wear a mask. As the situation with COVID-19 rapidly unfolds, it is critical that obstetricians keep up to date. Corresponding author: Denise J. Jamieson, MD, MPH, Department of Gynecology and Obstetrics, Emory University School of Medicine, Atlanta, GA; email: djamieson@emory.edu. Financial Disclosure Sonja A. Rasmussen reports serving on the Teva Pregnancy Registry Advisory Committee, the Solriamfetol Pregnancy Registry Advisory Committee, and the Steering Committee for the Gilenya Pregnancy Registry. She hasn't received payment for any of these committees as of March 2020, but may receive payments in the future. In addition, she serves as a litigation consultant on behalf of Hoffmann-La Roche for a product liability claim regarding an alleged birth defect. These are not relevant to this article or COVID-19. The other author did not report any potential conflicts of interest. Each author has confirmed compliance with the journal's requirements for authorship. Peer reviews and author correspondence are available at http://links.lww.com/AOG/B822. Received March 08, 2020 Received in revised form March 12, 2020 Accepted March 12, 2020 © 2020 by The American College of Obstetricians and Gynecologists. Published by Wolters Kluwer Health, Inc. All rights reserved.",2020,,Obstetrics & Gynecology,Publish Ahead of Print,,,00006250-900000000-97417,10.1097/aog.0000000000003873,10790,#10036,Rasmussen 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Coronavirus Pandemic and Worries during Pregnancy; a Letter to Editor,"Rashidi Fakari, Farzaneh; Simbar, Masoumeh",,2020,,Archives of academic emergency medicine,8,1,e21-e21,MEDLINE:32185371,,10722,#10037,RashidiFakari 2020,,* Opinion piece,20-03-20
F-18-FDG PET/CT findings of COVID-19: a series of four highly suspected cases,"Qin, Chunxia; Liu, Fang; Yen, Tzu-Chen; Lan, Xiaoli","Purpose The aim of this case series is to illustrate the F-18-FDG PET/CT findings of patients with acute respiratory disease caused by COVID-19 in Wuhan, Hubei province of China. Methods We describe the F-18-FDG PET/CT results from four patients who were admitted to the hospital with respiratory symptoms and fever between January 13 and January 20, 2020, when the COVID-19 outbreak was still unrecognized and the virus infectivity was unknown. A retrospective review of the patients' medical history, clinical and laboratory data, as well as imaging findings strongly suggested a diagnosis of COVID-19. Results All patients had peripheral ground-glass opacities and/or lung consolidations in more than two pulmonary lobes. Lung lesions were characterized by a high F-18-FDG uptake and there was evidence of lymph node involvement. Conversely, disseminated disease was absent, a finding suggesting that COVID-19 has pulmonary tropism. Conclusions Although F-18-FDG PET/CT cannot be routinely used in an emergency setting and is generally not recommended for infectious diseases, our pilot data shed light on the potential clinical utility of this imaging technique in the differential diagnosis of complex cases.",2020,,European Journal of Nuclear Medicine and Molecular Imaging,,,,WOS:000517419500001,10.1007/s00259-020-04734-w,10686,#10048,Qin 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
How COVID-19 Outbreak Is Impacting Colorectal Cancer Patients in Italy: A Long Shadow Beyond Infection,"Pellino, Gianluca; Spinelli, Antonino",,2020,,Diseases of the Colon & Rectum,Publish Ahead of Print,,,00003453-900000000-99704,10.1097/dcr.0000000000001685,10812,#10062,Pellino 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Is nicotine exposure linked to cardiopulmonary vulnerability to COVID-19 in the general population?,"Olds, J. L.; Kabbani, N.","The recent emergence of COVID-19 has resulted in a worldwide crisis, with large populations locked down and transportation links severed. While approximately 80% of infected individuals have minimal symptoms, around 15-20% need to be hospitalized, greatly stressing global health care systems. As of March 10, the death rate appears to be about 3.4%, although this number is highly stratified among different populations. Here, we focus on those individuals who have been exposed to nicotine prior to their exposure to the virus. We predict that these individuals are ""primed"" to be at higher risk because nicotine can directly impact the putative receptor for the virus (ACE2) and lead to deleterious signaling in lung epithelial cells.",2020,,The FEBS journal,,,,,10.1111/febs.15303,10240,#10071,Olds 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
